Nome;Descrição;Data Inicio;Data Fim;Imagem;Tipo
Vencedor DPUM: C;Vencedor do desafio de programação em C;2019-02-04;2019-02-09;images/Desafios/fstc.png;7
Vencedor DPUM: Haskell;Vencedor do desafio de programação em Haskell;2019-02-04;2019-02-09;images/Desafios/fsth.png;7
Vencedor DPUM: Livre;Vencedor do desafio codegolf livre;2019-02-04;2019-02-09;images/Desafios/livre.png;7
Vencedor do desafio de fotografia;Vencedor do desafio de fotografia;2019-02-04;2019-02-09;images/Desafios/fstphoto.png;7
Desafio de fotografia;Participaste no desafio de fotografia;2019-02-04;2019-02-09;images/Desafios/participantefoto.png;7
DPUM;Participaste no desafio de programação;2019-02-04;2019-02-09;images/Desafios/participantedpum.png;7
Desafio de segurança;Participaste no desafio de Segurança;2019-02-04;2019-02-09;images/Desafios/participantesegurança.png;7
Vencedor do desafio de segurança;Vencedor do desafio de segurança;2019-02-04;2019-02-09;images/Desafios/fstseg.png;7
