name,description,begin_time,end_time,begin_badge,end_badge,image_path,type,tokens,counts_for_day
Meme Maker,Publica (no Discord) um meme que receba mais de 20 reações (não valem repetidos!),2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/meme_maker.svg,3,15,1
Jantar Empresarial - participação,Sê convidado e vem ao Jantar Empresarial com a Accenture,2024-02-07T21:00:00Z,2024-02-07T23:00:00Z,2024-02-07T09:00:00Z,2024-02-07T23:59:00Z,data/badges/images/jantar_empresarial.svg,2,25,0
CTF - Dia 1,Encontra a Flag do dia 1,2024-02-06T09:00:00Z,2024-02-06T18:00:00Z,2024-02-06T09:00:00Z,2024-02-06T18:00:00Z,data/badges/images/flag1.svg,2,20,1
CTF - Dia 2,Encontra a Flag do dia 2,2024-02-07T09:00:00Z,2024-02-07T18:00:00Z,2024-02-07T09:00:00Z,2024-02-07T18:00:00Z,data/badges/images/flag2.svg,2,20,1
CTF - Dia 3,Encontra a Flag do dia 3,2024-02-08T09:00:00Z,2024-02-08T18:00:00Z,2024-02-08T09:00:00Z,2024-02-08T18:00:00Z,data/badges/images/flag3.svg,2,20,1
CTF - Dia 4,Encontra a Flag do dia 4,2024-02-09T09:00:00Z,2024-02-09T17:00:00Z,2024-02-09T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/flag4.svg,2,20,1
Flag Master,Encontra todas as Flags,2024-02-09T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/flag_master.svg,2,100,1
Curriculum Vitae,Dá upload do teu CV no site da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/cv.svg,2,200,1
Easter Egg 1,Encontra um dos Easter Eggs escondidos,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/easter_egg1.svg,1,10,1
Easter Egg 2,Encontra um dos Easter Eggs escondidos,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2023-02-15T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/easter_egg2.svg,1,10,1
